WPR-GEO-0001,,Bryn Siltstone Formation,,Ordovician,,Caradoc / Burrellian–Longvillian,,,siltstone,https://museum.wales/database/geology/palaeontology/?specimen=10236,Museum Wales type record.
WPR-GEO-0002,,Rhondda Beds,Shale above No.2 Rhondda Seam,Carboniferous,Silesian / Westphalian,Duckmantian–Bolsovian,,,coal-measure shale,https://museum.wales/database/geology/palaeontology/?specimen=13,Museum Wales type record.
WPR-GEO-0003,,Upper Coal Measures,Swansea Four Feet Seam,Carboniferous,Silesian / Westphalian,Westphalian D,,,coal measures,https://museum.wales/database/geology/palaeontology/?specimen=15,Museum Wales type record.
WPR-GEO-0004,Golden Grove Group,,,Ordovician,Llandeilo,Lower Llandeilo 'b',,,,https://museum.wales/database/geology/palaeontology/?specimen=142,Museum Wales type record.
WPR-GEO-0005,,Middle Coal Measures,Roof of Nine-Feet Seam,Carboniferous,Silesian / Westphalian,Duckmantian / Lower Westphalian B,,,coal measures,https://museum.wales/database/geology/palaeontology/?specimen=26,Museum Wales type record.
WPR-GEO-0006,,Pontyfenni Formation,,Ordovician,Arenig,Fennian,,,,https://museum.wales/database/geology/palaeontology/?specimen=84,Used by several Carmarthenshire trilobite types.
WPR-GEO-0007,,Blaencediw Formation,,Ordovician,Arenig,Whitlandian,,,,https://museum.wales/database/geology/palaeontology/?specimen=112,Museum Wales type record.
WPR-GEO-0008,,Lower Brown Limestone,,Carboniferous,Dinantian,Viséan,,,limestone,https://museum.wales/database/geology/palaeontology/?specimen=113,Museum Wales type record.
WPR-GEO-0009,,Ogof Hên Formation,Bolahaul Member,Ordovician,Arenig,Moridunian,,,,https://museum.wales/database/geology/palaeontology/?specimen=74,Used by Ovatoconcha and Blastoidocrinus type records.
WPR-GEO-0010,,Coal Measures,Stanllyd Seam,Carboniferous,Silesian / Westphalian,Duckmantian–Bolsovian,,,coal measures,https://museum.wales/database/geology/palaeontology/?specimen=21,Belinurus pustulosus record.
WPR-GEO-0011,Carboniferous Limestone Supergroup,,Fissure fill,Triassic,Late Triassic,Rhaetian,,,fissure-fill sediment,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/9063995,NHMUK Aenigmaspina record; locality contains younger fissure-fill fauna within Carboniferous limestone.
WPR-GEO-0012,,Pant Quarry fissure-fill deposits,,Triassic–Jurassic,Late Triassic–Early Jurassic,,,,fissure-fill sediment,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/10668072/1748251284062,Working geological unit for Pant Quarry 2 records; refine specimen-by-specimen.
WPR-GEO-0013,Old Red Sandstone Supergroup,Senni Beds,,Devonian,Lower Devonian,Pragian,,,sandstone and mudstone,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/2156242/dwc,NHMUK Zosterophyllum record; BGS confirms classic Llanover Quarry flora.
WPR-GEO-0014,Lower Lias Group,Blue Lias Formation,Bull Cliff Member,Jurassic,Early Jurassic,Hettangian,201.50,199.50,limestone and mudstone,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0145713,Dracoraptor horizon: bed 7 or 9; paper dates specimen-bearing stratum to ca. 201.3 ± 0.2 Ma.
WPR-GEO-0015,,Long Quarry Beds,,Silurian,,Přídolí,,,,https://museum.wales/database/geology/palaeontology/?specimen=30,Steganotheca striata holotype.
WPR-GEO-0016,,Penarth Group,,Triassic,Late Triassic,Rhaetian,,,,https://museum.wales/database/geology/palaeontology/?specimen=80,Mesembrioxylon rhaeticum holotype.
WPR-GEO-0017,,Glyptograptus teretiusculus Shales,,Ordovician,,Llandeilo,,,,https://museum.wales/database/geology/palaeontology/?specimen=10238,Cymabolbina acanthodes holotype.
WPR-GEO-0018,,Senni Beds Formation,,Devonian,Lower Devonian,Lochkovian–Pragian,,,,https://museum.wales/database/geology/palaeontology/?specimen=118,Thrinkophyton formosum holotype.
WPR-GEO-0019,,Milford Haven Group,,Silurian,,Přídolí,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10001094,Freshwater East plant type material.
WPR-GEO-0020,,Aberystwyth Grits Formation,,Silurian,,Telychian,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10000225,Asteriacites aberensis paratype.
WPR-GEO-0021,,Mydrim Shale Formation,,Ordovician,Late Ordovician,Burrellian–Aurelucian,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10000146,Trinucleus conollyi paratype.
WPR-GEO-0022,,Sandstone Series,,Silurian,Wenlock–Ludlow,,,,,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/3098401,NHMUK Stegerhynchus record from Freshwater East.
WPR-GEO-0023,,Llanfawr Mudstone Formation,,Ordovician,,Llandeilian,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10001233,Opsiconidion nudum paratype.
WPR-GEO-0024,,Trewern Brook Mudstone Formation,Glyn Member,Silurian,,Homerian,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10001122,Visbyella trewerna paratype.
WPR-GEO-0025,,Llanfallteg Formation,,Ordovician,Middle Ordovician,Llanvirn,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10000514,Microparia teretis paratype.
WPR-GEO-0026,,Middle Arenig,,Ordovician,,Arenig,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20000359,Callograptus hopkinsoni holotype.
WPR-GEO-0027,,Lower Phillipsinella Bed,,Ordovician,,,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001829,Cupulocorona digitalis holotype.
WPR-GEO-0028,,Caradoc,,Ordovician,,Caradoc,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001254,Used for Ctenodonta delicatula; Merlinia record needs exact unit checked.
WPR-GEO-0029,,Calcareous Shale,,Ordovician,,Llandeilian,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20002314,Atractopyge sedgwicki holotype.
WPR-GEO-0030,,Menevian,,Cambrian,,St David's Series,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20000154,Holocephalina menevensis holotype.
WPR-GEO-0031,,Upper Ludlow Tilestone,,Silurian,,Přídolí,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001882,Anodontopsis quadrata holotype.
WPR-GEO-0032,,Coralliferous Series,,Silurian,,Wenlock–Telychian,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001019,Multisolenia crenulata holotype.
WPR-GEO-0033,,Lower Llandovery,,Silurian,,Llandovery,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20002150,Glyptograptus tamariscus var. varians holotype.
WPR-GEO-0034,,Coal Measures Group,Roof of Mynyddislwyn Seam,Carboniferous,,Westphalian,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=117889,Euproops gwenti/meeki records; Tenuis Zone noted.
WPR-GEO-0035,Carboniferous Limestone Supergroup,,,Carboniferous,Dinantian,,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=60252,Bellerophon monensis holotype.
WPR-GEO-0036,,Teilia Beds,,Carboniferous,,Brigantian,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=25000109,Sphenopteris teiliana holotype.
WPR-GEO-0037,,Flags,,Ordovician,Middle Ordovician,Darriwilian,,,,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb/record/2046432,Marrolithus inflatus NHMUK record.
WPR-GEO-0038,,Pontalun fissure-fill deposits,,Mesozoic,,,,,,https://data.nhm.ac.uk/,Working unit for Pontalun 2/3 Morganucodon records; refine age/formation from primary literature before publication.
WPR-GEO-0039,,Middle/Upper Bala,,Ordovician,,Caradoc–Ashgill,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001929,Working unit for Bala/Upper Bala Sedgwick type records.
WPR-GEO-0040,,Llandovery,,Silurian,,Llandovery,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001344,Monograptus austerus var. praecursor paratype; fimbriatus biozone.
WPR-GEO-0041,,Brynmair Bed,,Silurian,,Llandovery,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001415,Monograptus runcinatus var. pertinax syntype; turriculatus biozone.
WPR-GEO-0042,,Lower Llandeilo,lower zone,Ordovician,,Llandeilian,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001284,Dendrograptus serpens holotype.
WPR-GEO-0043,,Sholeshook Limestone,basal,Ordovician,,Pusgillian,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20002136,Tretaspis moeldenensis holotype.
WPR-GEO-0044,,Bifidus Bed,,Ordovician,,Arenig–Llanvirn,,,,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20002005,Geragnostus scoltonensis holotype.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
