asset_id,specimen_id,asset_type,repository_or_platform,url,licence,creator,file_or_model_id,download_available,notes
WPR-ASSET-0001,WPR-SP-0046,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10000146,CC BY-NC-SA 3.0,,NMW 00.17G.2,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0002,WPR-SP-0047,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10000225,CC BY-NC-SA 3.0,,NMW 90.44G.4,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0003,WPR-SP-0048,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10000178,CC BY-NC-SA 3.0,,NMW 76.3G.9,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0004,WPR-SP-0049,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10001050,CC BY-NC-SA 3.0,,NMW 33.189.G102,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0005,WPR-SP-0050,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10001233,CC BY-NC-SA 3.0,,NMW 96.8G.953,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0006,WPR-SP-0051,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10001122,CC BY-NC-SA 3.0,,NMW 72.6G.4,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0007,WPR-SP-0052,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10000514,CC BY-NC-SA 3.0,,NMW 84.17G.22,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0008,WPR-SP-0053,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10000457,CC BY-NC-SA 3.0,,NMW 84.11G.14,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0009,WPR-SP-0054,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10001116,CC BY-NC-SA 3.0,,NMW 78.8G.30,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0010,WPR-SP-0055,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10001094,CC BY-NC-SA 3.0,,NMW 77.6G.10,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0011,WPR-SP-0056,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10000618,CC BY-NC-SA 3.0,,NMW 77.6G.13,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0012,WPR-SP-0057,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=10000615,CC BY-NC-SA 3.0,,NMW 77.6G.1,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0013,WPR-SP-0058,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001999,CC BY-NC-SA 3.0,,SM A 44425,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0014,WPR-SP-0059,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20000359,CC BY-NC-SA 3.0,,SM A 4695,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0015,WPR-SP-0060,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001829,CC BY-NC-SA 3.0,,SM A 40229,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0016,WPR-SP-0061,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20002314,CC BY-NC-SA 3.0,,SM A 46897,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0017,WPR-SP-0062,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20000154,CC BY-NC-SA 3.0,,SM A 1051,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0018,WPR-SP-0063,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001254,CC BY-NC-SA 3.0,,SM A 25011,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0019,WPR-SP-0064,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001882,CC BY-NC-SA 3.0,,SM A 37755,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0020,WPR-SP-0065,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001019,CC BY-NC-SA 3.0,,SM A 15035 a-e,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0021,WPR-SP-0066,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20002150,CC BY-NC-SA 3.0,,SM A 51439,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0022,WPR-SP-0067,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=117893,CC BY-NC-SA 3.0,,BGS GSM48528Cprt,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0023,WPR-SP-0068,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=117889,CC BY-NC-SA 3.0,,BGS GSM48523Cprt,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0024,WPR-SP-0069,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=117890,CC BY-NC-SA 3.0,,BGS GSM48524Cprt,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0025,WPR-SP-0070,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=60252,CC BY-NC-SA 3.0,,BGS GSM49398,Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0026,WPR-SP-0071,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=25000109,CC BY-NC-SA 3.0,,CHEGM 1977.22AH (A),Yes,GB3D page provides specimen imagery; whether a downloadable 3D mesh exists should be checked per record.
WPR-ASSET-0027,WPR-SP-0079,IIIF specimen images,Natural History Museum Data Portal,https://data.nhm.ac.uk/object/07d0d854-9e15-44d6-bb76-77ebb33b8180,NHMUK Data Portal record licence CC0 for metadata; image rights may differ,,PV M 24590,Yes,NHMUK record exposes IIIF image viewer/manifest.
WPR-ASSET-0028,WPR-SP-0117,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20000153,CC BY-NC-SA 3.0,,,Yes,GB3D provides downloadable high-resolution images; 3D availability should be checked on each page.
WPR-ASSET-0029,WPR-SP-0118,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001929,CC BY-NC-SA 3.0,,,Yes,GB3D provides downloadable high-resolution images; 3D availability should be checked on each page.
WPR-ASSET-0030,WPR-SP-0119,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001344,CC BY-NC-SA 3.0,,,Yes,GB3D provides downloadable high-resolution images; 3D availability should be checked on each page.
WPR-ASSET-0031,WPR-SP-0120,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001006,CC BY-NC-SA 3.0,,,Yes,GB3D provides downloadable high-resolution images; 3D availability should be checked on each page.
WPR-ASSET-0032,WPR-SP-0121,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20001415,CC BY-NC-SA 3.0,,,Yes,GB3D provides downloadable high-resolution images; 3D availability should be checked on each page.
WPR-ASSET-0033,WPR-SP-0122,high-resolution specimen imagery,GB3D Type Fossils,https://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=20002023,CC BY-NC-SA 3.0,,,Yes,GB3D provides downloadable high-resolution images; 3D availability should be checked on each page.
