locality_id,locality_name,county_or_area,country,latitude,longitude,coordinate_precision,site_type,geological_unit_id,access_status,sensitivity_status,notes
WPR-LOC-0001,Glamorgan (county-level record),Glamorgan,Wales,,,,county-level historic provenance,,,Generalised,Museum Wales type database exposes county only for these records.
WPR-LOC-0002,Montgomeryshire (county-level record),Montgomeryshire,Wales,,,,county-level historic provenance,,,Generalised,Precise locality not exposed on type record.
WPR-LOC-0003,Ceredigion (county-level record),Ceredigion,Wales,,,,county-level historic provenance,,,Generalised,Precise locality not exposed on type record.
WPR-LOC-0004,Carmarthenshire (county-level record),Carmarthenshire,Wales,,,,county-level historic provenance,,,Generalised,Precise locality not exposed on type record.
WPR-LOC-0005,Pembrokeshire (county-level record),Pembrokeshire,Wales,,,,county-level historic provenance,,,Generalised,Precise locality not exposed on type record.
WPR-LOC-0006,Powys (county-level record),Powys,Wales,,,,county-level historic provenance,,,Generalised,Precise locality not exposed on type record.
WPR-LOC-0007,Clwyd (historic county-level record),Clwyd,Wales,,,,county-level historic provenance,,,Generalised,Historic county wording preserved from catalogue.
WPR-LOC-0008,Denbighshire (county-level record),Denbighshire,Wales,,,,county-level historic provenance,,,Generalised,Precise locality not exposed on type record.
WPR-LOC-0009,Pant-y-ffynnon Quarry,Vale of Glamorgan,Wales,51.458973,-3.375729,catalogue georeference,fissure-fill quarry,WPR-GEO-0011,research locality,Restricted,NHMUK catalogue: c. 3 miles east of Cowbridge. Coordinates retained in internal working copy; consider generalising publicly.
WPR-LOC-0010,"Pant Quarry 2, Ewenny",Vale of Glamorgan,Wales,51.472224,-3.590762,catalogue georeference,fissure-fill quarry,WPR-GEO-0012,research locality,Restricted,NHMUK records use Glamorgan; Pant Quarry 2 / Ewenny.
WPR-LOC-0011,"Llanover Quarry, near Abergavenny",Monmouthshire / Gwent,Wales,51.811644,-2.716313,catalogue georeference,quarry,WPR-GEO-0013,historic fossil locality,Generalised,Classic Pragian flora locality; NHMUK coordinates supplied.
WPR-LOC-0012,Lavernock Point,Vale of Glamorgan,Wales,,,National Grid ST 187681 in source,coastal cliff / foreshore,WPR-GEO-0014,public coast,Generalised,Dracoraptor recovered from fallen blocks at east side of Lavernock Point; exact fossil-bearing horizon constrained stratigraphically.
WPR-LOC-0013,"Coygan Cave, Laugharne",Carmarthenshire,Wales,,,Museum grid ref SN 284 092,cave,,,Generalised,Museum Wales mammoth record.
WPR-LOC-0014,"Minchin Hole Cave, Gower",Swansea / Gower,Wales,,,,cave,,,Restricted,Straight-tusked elephant tooth; precise cave coordinates not copied into public-facing fields.
WPR-LOC-0015,"Pant Quarry, near Ewenny",Vale of Glamorgan,Wales,51.471878,-3.592959,catalogue georeference,fissure-fill quarry,WPR-GEO-0012,research locality,Restricted,NHMUK Gephyrosaurus records; kept distinct from 'Pant Quarry 2' wording.
WPR-LOC-0016,"Bacon Hole, Gower",Swansea / Gower,Wales,,,,cave,,,Restricted,Museum Wales mammoth-bone record.
