publication_id,citation,year,doi,taxa,localities,specimens,contribution,source_type,source_url,notes
WPR-PUB-0001,"Martill, D.M. et al. (2016). The Oldest Jurassic Dinosaur: A Basal Neotheropod from the Hettangian of Great Britain. PLOS ONE 11(1): e0145713.",2016,10.1371/journal.pone.0145713,Dracoraptor hanigani,Lavernock Point,NMW 2015.5G.1–2015.5G.11,"Primary description; holotype anatomy, locality and stratigraphy.",Peer-reviewed article,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0145713,Open-access primary source.
WPR-PUB-0002,"Spiekman, S.N.F. et al. (2021). Pendraig milnerae, a new small-sized coelophysoid theropod from the Late Triassic of Wales. Royal Society Open Science 8:210915.",2021,10.1098/rsos.210915,Pendraig milnerae,Pant-y-ffynnon Quarry,NHMUK PV R 37591; PV R 37596; PV R 37597,Primary description of holotype and referred material.,Peer-reviewed article,https://pmc.ncbi.nlm.nih.gov/articles/PMC8493203/,Open-access primary source.
WPR-PUB-0003,"Patrick, E.L. et al. (2019). A new crurotarsan archosaur from the Late Triassic of South Wales. Journal of Vertebrate Paleontology 39(3): e1645147.",2019,10.1080/02724634.2019.1645147,Aenigmaspina pantyffynnonensis,Pant-y-ffynnon Quarry,NHMUK material including PV R 37423,Primary description and CT-based study.,Peer-reviewed article,https://www.tandfonline.com/doi/full/10.1080/02724634.2019.1645147,Publisher record; article access may vary.
WPR-PUB-0004,"Croft, W.N. & Lang, W.H. (1942). The Lower Devonian Flora of the Senni Beds of Monmouthshire and Breconshire. Philosophical Transactions of the Royal Society B 231:131–163.",1942,10.1098/rstb.1942.0001,Zosterophyllum llanoveranum; Lower Devonian flora,Llanover Quarry,NHMUK syntype material,Primary description of the Senni Beds flora including Z. llanoveranum.,Peer-reviewed article,https://doi.org/10.1098/rstb.1942.0001,Bibliographic metadata corroborated online; specimen record independently verified in NHMUK portal.
WPR-PUB-0005,GB3D Type Fossils Online. JISC/British Geological Survey and partner institutions. High-resolution photographs and digital records of British type fossils.,,,British type fossils,Wales and UK,Multiple museum type specimens,"Cross-institution type specimen database with locality, stratigraphy, provenance and digital imagery.",Website/database,https://www.3d-fossils.ac.uk/,Used extensively in second pass.
WPR-PUB-0006,Amgueddfa Cymru – Museum Wales. Palaeontology: Holotypes & Lectotypes online database.,,,Museum Wales palaeontology types,Wales and wider UK,NMW type specimens,"Primary museum database of holotypes and lectotypes with accession, taxonomy, stratigraphy and references.",Website/database,https://museum.wales/database/geology/palaeontology/,Museum Wales first- and second-pass source.
WPR-PUB-0007,"Natural History Museum, London. Data Portal: Collection specimens.",,,NHMUK palaeontology specimens,Wales and global,NHMUK catalogue records,"Primary online collection database with locality, taxonomy, stratigraphy and versioned record URLs.",Website/database,https://data.nhm.ac.uk/,NHMUK first- and second-pass source.
WPR-PUB-0008,"Keeble, E., Whiteside, D.I. & Benton, M.J. (2018). The terrestrial fauna of the Late Triassic Pant-y-ffynnon Quarry fissures, South Wales, UK and a new species of Clevosaurus (Lepidosauria: Rhynchocephalia). Proceedings of the Geologists' Association 129(2):99–119.",2018,10.1016/j.pgeola.2017.11.001,Clevosaurus cambrica; Pantydraco caducus; Terrestrisuchus gracilis; Pant-y-ffynnon fauna,Pant-y-ffynnon Quarry,NHMUK and Bristol material,Faunal synthesis and primary description of Clevosaurus cambrica.,Peer-reviewed article,https://www.sciencedirect.com/science/article/abs/pii/S0016787817301529,Core Pant-y-ffynnon reference.
WPR-PUB-0009,"Chambi-Trowell, S.A.V. et al. (2020). Biomechanical properties of the jaws of two species of Clevosaurus and a reanalysis of rhynchocephalian dentary morphospace. Palaeontology.",2020,10.1111/pala.12493,Clevosaurus cambrica,Pant-y-ffynnon Quarry,NHMUK PV R37014,Uses CT/digital segmentation of the C. cambrica skull.,Peer-reviewed article,https://onlinelibrary.wiley.com/doi/10.1111/pala.12493,Digital asset evidence for Clevosaurus.
WPR-PUB-0010,"Spiekman, S.N.F. et al. (2024). The postcranial anatomy and osteohistology of Terrestrisuchus gracilis (Archosauria, Crocodylomorpha) from the Late Triassic of Wales. Papers in Palaeontology.",2024,10.1002/spp2.1577,Terrestrisuchus gracilis,Pant-y-ffynnon Quarry,NHMUK PV R 7557a–h and referred material,Modern revision of holotype composition and extensive referred material.,Peer-reviewed article,https://onlinelibrary.wiley.com/doi/10.1002/spp2.1577,Useful for future expansion of ~200 referred specimens.
WPR-PUB-0011,"Beeston, S.L. et al. (2026). New information on Late Triassic sauropodomorph dinosaurs provides support for the independent acquisition of postcranial skeletal pneumaticity in avemetatarsalian lineages. Journal of Anatomy.",2026,,Pantydraco caducus,Pant-y-ffynnon Quarry,NHMUK PV RUP24,Modern anatomical/CT study of Pantydraco holotype.,Peer-reviewed article,https://pmc.ncbi.nlm.nih.gov/articles/PMC12881877/,Open-access source.
WPR-PUB-0012,Amgueddfa Cymru – Museum Wales. Collections Online: Pleistocene and Lower Palaeolithic material from Welsh cave sites.,,,Pleistocene vertebrates; Homo neanderthalensis,Coygan Cave; Pontnewydd Cave; Paviland Cave; Minchin Hole; Bacon Hole,Museum Wales accessioned material,Primary object-level catalogue for faunal and human remains used in Pass 3.,Website/database,https://museum.wales/collections/online/,Pass 3 ordinary-specimen source.
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
