specimen_id,taxon_id,repository_id,catalogue_number,element,locality_id,geological_unit_id,collection_event_id,collector,collection_date,type_status,figured_status,identification_confidence,provenance_confidence,disposition_status,photograph_available,3d_available,primary_publication_id,source_url,notes
WPR-SP-0001,WPR-TAX-0001,WPR-REP-0001,NMW 00.628.1,,WPR-LOC-0001,,,,,Holotype,Yes,A,B,Museum accessioned,Unknown,Unknown,,https://museum.wales/database/geology/palaeontology/,Museum Wales holotype database; Triassic Dolomitic Conglomerate; Newton Nottage/Porthcawl context is in cited literature but catalogue result exposes Glamorgan.
WPR-SP-0002,WPR-TAX-0002,WPR-REP-0001,NMW 77.11G.46,,WPR-LOC-0002,WPR-GEO-0001,,,,Holotype,Yes,A,B,Museum accessioned,Unknown,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=10236,Direct Museum Wales holotype record.
WPR-SP-0003,WPR-TAX-0003,WPR-REP-0001,NMW 27.177.G1,,WPR-LOC-0040,WPR-GEO-0002,,D. Davies,,Holotype,Yes,A,B,Museum accessioned,Yes,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=13,"Museum Wales holotype record; GB3D refines provenance to Clydach Vale, Tonypandy, Rhondda Fawr and lists collector D. Davies."
WPR-SP-0004,WPR-TAX-0004,WPR-REP-0001,NMW 27.177.G14,,WPR-LOC-0001,WPR-GEO-0003,,,,Holotype,Yes,A,B,Museum accessioned,Unknown,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=15,Direct Museum Wales holotype record.
WPR-SP-0005,WPR-TAX-0005,WPR-REP-0001,NMW 62.24.G107,,WPR-LOC-0003,,,,,Holotype,Yes,A,B,Museum accessioned,Unknown,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=29,"Silurian Llandovery; cited work discusses Aberystwyth Grits Formation, but no lithostratigraphy is asserted here from the catalogue page."
WPR-SP-0006,WPR-TAX-0006,WPR-REP-0001,NMW 96.8G.181,,WPR-LOC-0004,WPR-GEO-0004,,,,Holotype,Yes,A,B,Museum accessioned,Unknown,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=142,Direct Museum Wales holotype record.
WPR-SP-0007,WPR-TAX-0007,WPR-REP-0001,NMW 32.518.G1,,WPR-LOC-0041,WPR-GEO-0005,,W. O'Connor,,Holotype,Yes,A,B,Museum accessioned,Yes,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=26,"Museum Wales holotype record; GB3D refines provenance to Ty'n-y-bedw Colliery, Pentre, Rhondda and lists collector W. O'Connor."
WPR-SP-0008,WPR-TAX-0008,WPR-REP-0001,NMW 84.11G.6.a&b,,WPR-LOC-0004,WPR-GEO-0006,,,,Holotype,Yes,A,B,Museum accessioned,Unknown,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=84,Direct Museum Wales holotype record.
WPR-SP-0009,WPR-TAX-0009,WPR-REP-0001,NMW 87.44G.1 c,,WPR-LOC-0005,WPR-GEO-0007,,,,Holotype,Yes,A,B,Museum accessioned,Unknown,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=112,Direct Museum Wales holotype record.
WPR-SP-0010,WPR-TAX-0010,WPR-REP-0001,NMW 27.110.G34,,WPR-LOC-0006,,,,,Holotype,Yes,A,B,Museum accessioned,Unknown,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=12,Ordovician Caradoc; precise locality should be recovered from type reference.
WPR-SP-0011,WPR-TAX-0011,WPR-REP-0001,NMW 87.77G.778,,WPR-LOC-0007,WPR-GEO-0008,,,,Holotype,Yes,A,B,Museum accessioned,Unknown,Unknown,,https://museum.wales/database/geology/palaeontology/?specimen=113,Direct Museum Wales holotype record.
