taxon_id,accepted_name,authority,original_identification,synonyms,higher_group,taxonomic_confidence,notes
WPR-TAX-0001,Anchisauripus thomasi,"(Sollas, 1879)",Anchisauripus thomasi,,Trace fossils / dinosaur footprint,A,Museum Wales holotype database.
WPR-TAX-0002,Platystrophia elevata,"Harper & Brenchley, 1993",Platystrophia elevata,,Brachiopoda,A,Museum Wales holotype database.
WPR-TAX-0003,Archimylacris woodwardi,"Bolton, 1910",Archimylacris woodwardi,,Arthropoda: Insecta,A,Museum Wales holotype database.
WPR-TAX-0004,Phylomylacris membranacea,"Bolton, 1930",Phylomylacris membranacea,,Arthropoda: Insecta,A,Museum Wales holotype database.
WPR-TAX-0005,Nereites cambrensis,"Murchison, 1839",Nereites cambrensis,,Trace fossils,A,Museum Wales holotype database.
WPR-TAX-0006,Bathmoleca addisoni,"Sutton, Bassett & Cherns, 2000",Bathmoleca addisoni,,Brachiopoda,A,Museum Wales holotype database.
WPR-TAX-0007,Maiocercus celticus,"(Pocock, 1902)",Maiocercus celticus,,Arthropoda: Arachnida,A,Museum Wales holotype database.
WPR-TAX-0008,Colpocoryphe taylorum,"Fortey & Owens, 1987",Colpocoryphe taylorum,,Arthropoda: Trilobita,A,Museum Wales holotype database.
WPR-TAX-0009,Celtocrinus ubaghsi,"Donovan & Cope, 1989",Celtocrinus ubaghsi,,Echinodermata: Crinoidea,A,Museum Wales holotype database.
WPR-TAX-0010,Thamniscus antiquus,"Vine, 1885",Thamniscus antiquus,,Bryozoa,A,Museum Wales holotype database.
WPR-TAX-0011,Lepidodendropsis jonesi,"Lacey, 1962",Lepidodendropsis jonesi,,Plantae,A,Museum Wales holotype database.
WPR-TAX-0012,Salopia abbreviata,"Harper & Brenchley, 1993",Salopia abbreviata,,Brachiopoda,A,Museum Wales holotype database.
WPR-TAX-0013,Ovatoconcha fragilis,"Cope, 1996",Ovatoconcha fragilis,,Mollusca: Bivalvia,A,Museum Wales holotype database.
WPR-TAX-0014,Belinurus carwayensis,"Dix & Pringle, 1929",Belinurus carwayensis,,Arthropoda: Xiphosura,A,Museum Wales holotype database.
WPR-TAX-0015,Belinurus pustulosus,"Dix & Pringle, 1929",Belinurus pustulosus,,Arthropoda: Xiphosura,A,Museum Wales holotype database.
WPR-TAX-0016,Blastoidocrinus antecedens,"Paul & Cope, 1982",Blastoidocrinus antecedens,,Echinodermata: Parablastoidea,A,Museum Wales holotype database.
WPR-TAX-0017,Bergamia rushtoni,"Fortey & Owens, 1987",Bergamia rushtoni,,Arthropoda: Trilobita,A,Museum Wales holotype database.
WPR-TAX-0018,Dracoraptor hanigani,"Martill et al., 2016",Dracoraptor hanigani,,Dinosauria: Theropoda,A,Holotype accession and anatomy verified in primary description.
WPR-TAX-0019,Pendraig milnerae,"Spiekman et al., 2021",Pendraig milnerae,,Dinosauria: Theropoda,A,Holotype and referred material verified in primary description.
WPR-TAX-0020,Aenigmaspina pantyffynnonensis,"Patrick et al., 2019",Aenigmaspina pantyffynnonensis,,Archosauria: Crurotarsi,A,NHMUK catalogue / primary description.
WPR-TAX-0021,Terrestrisuchus gracilis,"Crush, 1984",Terrestrisuchus gracilis,,Crocodylomorpha,A,NHMUK specimen record exposed via iDigBio/NHMUK data.
WPR-TAX-0022,Gephyrosaurus bridensis,"Evans, 1980",Gephyrosaurus bridensis,,Reptilia: Rhynchocephalia,A,NHMUK data portal.
WPR-TAX-0023,Morganucodon watsoni,"Kühne, 1949",Morganucodon watsoni,,Mammalia: Morganucodonta,A,Species-level record where specified; genus-level NHMUK records linked here provisionally.
WPR-TAX-0024,Zosterophyllum llanoveranum,"Croft & Lang, 1942",Zosterophyllum llanoveranum,,Plantae: Zosterophyllopsida,A,NHMUK syntype record.
WPR-TAX-0025,Mammuthus sp.,,Mammoth,,Mammalia: Proboscidea,C,Museum Wales record identifies mammoth but not species.
WPR-TAX-0026,Palaeoloxodon antiquus,"(Falconer & Cautley, 1847)",Straight-tusked elephant / Elephas antiquus,,Mammalia: Proboscidea,B,Museum Wales record notes possible original syntype status; accepted generic placement should be checked against current collections taxonomy.
WPR-TAX-0027,Morganucodon sp.,"Kühne, 1949",Morganucodon,,Mammalia: Morganucodonta,A,Used only where the NHMUK record is identified to genus rather than M. watsoni.
WPR-TAX-0028,Steganotheca striata,"Edwards, 1970",Steganotheca striata,,Plantae: Tracheophyta,A,Museum Wales holotype database.
WPR-TAX-0029,Tarphyteina taylorae,"Sutton, Bassett & Cherns, 2000",Tarphyteina taylorae,,Brachiopoda,A,Museum Wales holotype database.
WPR-TAX-0030,Moridunia simplicidens,"Cope, 1996",Moridunia simplicidens,,Mollusca: Bivalvia,A,Museum Wales holotype database.
WPR-TAX-0031,Mesembrioxylon rhaeticum,"McLean, 1926",Mesembrioxylon rhaeticum,,Plantae: Tracheophyta,A,Museum Wales holotype database.
WPR-TAX-0032,Cymabolbina acanthodes,"Jones, 1986",Cymabolbina acanthodes,,Arthropoda: Ostracoda,A,Museum Wales holotype database.
WPR-TAX-0033,Rorringtonia kennedyi,"Owens, 1981",Rorringtonia kennedyi,,Arthropoda: Trilobita,A,Museum Wales holotype database.
WPR-TAX-0034,Thrinkophyton formosum,"Kenrick & Edwards, 1988",Thrinkophyton formosum,,Plantae: Tracheophyta,A,Museum Wales holotype database.
WPR-TAX-0035,Tortilicaulis transwalliensis,"Edwards, 1979",Tortilicaulis transwalliensis,,Plantae,A,Museum Wales / GB3D type records.
WPR-TAX-0036,Cooksonia cambrensis,"Edwards, 1979",Cooksonia cambrensis,,Plantae: Rhyniophyta,A,Museum Wales / GB3D type records.
WPR-TAX-0037,Trinucleus conollyi,"Fortey, 2006",Trinucleus conollyi,,Arthropoda: Trilobita,A,GB3D paratype record.
WPR-TAX-0038,Asteriacites aberensis,"Crimes & Crossley, 1991",Asteriacites aberensis,,Trace fossils,A,GB3D paratype record.
WPR-TAX-0039,Ampyx cetsarum,"Fortey & Owens, 1978",Ampyx cetsarum,,Arthropoda: Trilobita,A,GB3D paratype record.
WPR-TAX-0040,Ampyx linleyoides,"Fortey & Owens, 1987",Ampyx linleyoides,,Arthropoda: Trilobita,A,GB3D paratype record.
WPR-TAX-0041,Opsiconidion nudum,"Sutton et al., 2000",Opsiconidion nudum,,Brachiopoda: Lingulata,A,GB3D paratype record.
WPR-TAX-0042,Visbyella trewerna,"Bassett, 1972",Visbyella trewerna,,Brachiopoda,A,GB3D paratype record.
WPR-TAX-0043,Microparia teretis,"Fortey & Owens, 1987",Microparia (Microparia) teretis,,Arthropoda: Trilobita,A,GB3D paratype record.
WPR-TAX-0044,Pricyclopyge binodosa eurycephala,"Fortey & Owens, 1987",Pricyclopyge binodosa eurycephala,,Arthropoda: Trilobita,A,GB3D paratype record.
WPR-TAX-0045,Merlinia selwynii,"(Salter, 1859)",Ogygia selwynii Salter,Ogygiocaris selwynii; Ogygia selwynii,Arthropoda: Trilobita,A,GB3D holotype record.
WPR-TAX-0046,Callograptus hopkinsoni,Bulman,Callograptus hopkinsoni,Callograptus salteri Hall,Hemichordata: Graptolithina,A,GB3D holotype record.
WPR-TAX-0047,Cupulocorona digitalis,"Donovan & Paul, 1985",Cupulocorona digitalis,,Echinodermata: Blastoidea,A,GB3D holotype record.
WPR-TAX-0048,Atractopyge sedgwicki,MacGregor,Atractopyge sedgwicki,,Arthropoda: Trilobita,A,GB3D holotype record.
WPR-TAX-0049,Holocephalina menevensis,(Hicks),Carausia meneviensis Hicks,Carausia meneviensis,Arthropoda: Trilobita,A,GB3D holotype record.
WPR-TAX-0050,Ctenodonta delicatula,Harper,Ctenodonta delicatula,,Mollusca: Bivalvia,A,GB3D holotype record.
WPR-TAX-0051,Anodontopsis quadrata,McCoy,Anodontaspis quadratus McCoy,Palaearca digona; Anodontaspis quadratus,Mollusca: Bivalvia,A,GB3D holotype record.
WPR-TAX-0052,Multisolenia crenulata,Hill ms.,Multisolenia crenulata,Favosites crenulatus Hill ms.,Cnidaria: Anthozoa: Tabulata,B,GB3D lists manuscript authorship/name history; nomenclatural status should be checked before publication use.
WPR-TAX-0053,Glyptograptus tamariscus var. varians,Packham,Glyptograptus tamariscus var. varians,,Hemichordata: Graptolithina,B,GB3D holotype record; current taxonomic status should be checked.
WPR-TAX-0054,Euproops meeki,Dix & Pringle,Euproops meeki,,Arthropoda: Xiphosura,A,GB3D BGS holotype record.
WPR-TAX-0055,Euproops gwenti,Dix & Pringle,Euproops gwenti,,Arthropoda: Xiphosura,A,GB3D BGS type records.
WPR-TAX-0056,Bellerophon monensis,Weir,Bellerophon monensis,,Mollusca: Gastropoda,A,GB3D BGS holotype record.
WPR-TAX-0057,Sphenopteris teiliana,,Sphenopteris teiliana,Diplopteridium teilianum Kidston,Plantae: Sphenopsida,B,GB3D holotype record; accepted combination/authorship should be checked.
WPR-TAX-0058,Stegerhynchus sp.,"(Foerste, 1909)",Stegerhynchus,,Brachiopoda,A,NHMUK record identified to genus.
WPR-TAX-0059,Marrolithus inflatus,,Marrolithus inflatus,,Arthropoda: Trilobita,A,NHMUK catalogue record.
WPR-TAX-0060,Homo neanderthalensis,"King, 1864",Neanderthal human,,Hominidae,A,Museum Wales Pontnewydd fossil human remains.
WPR-TAX-0061,Ursus arctos,"Linnaeus, 1758",Brown bear,,Mammalia: Carnivora,A,Museum Wales identifies brown bear.
WPR-TAX-0062,Ursus sp.,,Bear,,Mammalia: Carnivora,B,Used where Museum Wales identifies only bear.
WPR-TAX-0063,Canis lupus,"Linnaeus, 1758",Wolf,,Mammalia: Carnivora,A,Museum Wales wolf records.
WPR-TAX-0064,Panthera sp.,,Lion,,Mammalia: Carnivora,B,Museum Wales record says lion; species not asserted here.
WPR-TAX-0065,Vulpes vulpes,"(Linnaeus, 1758)",Red fox,,Mammalia: Carnivora,A,Museum Wales red fox record.
WPR-TAX-0066,Equus ferus,"Boddaert, 1785",Horse,,Mammalia: Perissodactyla,A,Museum Wales record explicitly identifies Equus ferus for Coygan tooth; broader horse records linked conservatively.
WPR-TAX-0067,Bison sp.,,Bison,,Mammalia: Artiodactyla,B,"Museum Wales identifies bison, species not asserted."
WPR-TAX-0068,Coelodonta antiquitatis,"(Blumenbach, 1799)",Woolly rhinoceros,,Mammalia: Perissodactyla,A,Museum Wales woolly-rhinoceros records.
WPR-TAX-0069,Rhinocerotidae indet.,,'Merck's rhinoceros',,Mammalia: Perissodactyla,B,Preserves Museum Wales identification without forcing a modern species assignment.
WPR-TAX-0070,Megaloceros giganteus,"(Blumenbach, 1799)",Giant deer,,Mammalia: Artiodactyla,A,Museum Wales giant-deer mandible.
WPR-TAX-0071,Phocidae indet.,,Seal,,Mammalia: Carnivora,B,Museum Wales seal frontal.
WPR-TAX-0072,Bovidae/Cervidae indet.,,Bovid / cervid,,Mammalia: Artiodactyla,B,Museum Wales ambiguous mandibular ramus.
